Gene_symbol	Gene_Name	Synonyms	Human_entrez	Mouse_entrez	Rat_entrez
NKX6-2	"Homeobox protein Nkx-6.2 "	"NKX6B GTX NKX6.1"	84504	14912	309095
NKX6-3	"Homeobox protein Nkx-6.3"	FLJ25169	157848	74561	685102
NLK	"Serine/threonine-protein kinase NLK "	-	51701	18099	497961
NLRP12	"NACHT, LRR and PYD domains-containing protein 12 "	"RNO2 PYPAF7 Monarch1 PAN6 CLR19.3"	91662	378425	292541
NLRP3	"NACHT, LRR and PYD domains-containing protein 3 "	"AGTAVPRL AII AVP FCAS FCU NALP3 PYPAF1 MWS CLR1.1"	114548	216799	287362
NME2	"Nucleoside diphosphate kinase B "	"NM23-H2 NDPKB"	4831	18103	83782
NMI	"N-myc-interactor "	-	9111	64685	311021
NOBOX	"Homeobox protein NOBOX"	"OG2 Og2x"	135935	18291	502759
NOC2L	"Nucleolar complex protein 2 homolog "	"DKFZP564C186 NET7 NET15 NIR PPP1R112"	26155	57741	313777
NOC3L	"Nucleolar complex protein 3 homolog "	"AD24 FLJ12820 FAD24"	64318	57753	
NOC4L	"Nucleolar complex protein 4 homolog "	"MGC3162 NET49 UTP19 Noc4"	79050	100608	
NOD2	"Nucleotide-binding oligomerization domain-containing protein 2 "	"BLAU CD PSORAS1 CLR16.3 NLRC2"	64127	257632	291912
NOL11	"Nucleolar protein 11"	DKFZP586L0724	25926	68979	688885
NONO	"Non-POU domain-containing octamer-binding protein "	"NRB54 NMT55 P54NRB P54 PPP1R114"	4841	53610	317259
NOTCH1	"Neurogenic locus notch homolog protein 1 "	-	4851	18128	25496
NOTCH2	"Neurogenic locus notch homolog protein 2 "	-	4853	18129	29492
NOTCH3	"Neurogenic locus notch homolog protein 3 "	CASIL	4854	18131	56761
NOTCH4	"Neurogenic locus notch homolog protein 4 "	-	4855	18132	406162
NOTO	"Homeobox protein notochord"	-	344022	384452	502857
NPAS1	"Neuronal PAS domain-containing protein 1 "	"MOP5 PASD5 bHLHe11"	4861	18142	308387
NPAS2	"Neuronal PAS domain-containing protein 2 "	"MOP4 PASD4 bHLHe9"	4862	12753	60447
NPAS3	"Neuronal PAS domain-containing protein 3 "	"MOP6 PASD6 bHLHe12"	64067	18142	308387
NPAS4	"Neuronal PAS domain-containing protein 4 "	"PASD10 NXF Le-PAS bHLHe79"	266743	225872	266734
NPAT	"Protein NPAT "	"E14 p220"	4863	244879	315666
NPM1	"Nucleophosmin "	"B23 NPM"	4869	18148	25498
Npm2	Nucleoplasmin-2	-		328440	290359
NPM2	Nucleoplasmin-2	-	10361		
NPM3	Nucleoplasmin-3	-	10360	18150	502389
NR0B1	"Nuclear receptor subfamily NA group B member 1 "	"DAX1 AHCH"	190	11614	58850
NR0B2	"Nuclear receptor subfamily NA group B member 2 "	SHP	8431	23957	117274
NR1D1	"Nuclear receptor subfamily 1 group D member 1 "	"ear-1 hRev Rev-ErbAalpha THRA1 REVERBA REVERBalpha"	9572	217166	252917
NR1D2	"Nuclear receptor subfamily 1 group D member 2 "	"BD73 RVR EAR-1r HZF2 Hs.37288 REVERBB REVERBbeta"	9975	353187	259241
NR1H2	"Oxysterols receptor LXR-beta "	"NER NER-I RIP15 LXR-b LXRb"	7376	22260	58851
NR1H3	"Oxysterols receptor LXR-alpha "	"LXR-a RLD-1 LXRa"	10062	22259	58852
NR1H4	"Bile acid receptor "	"FXR RIP14 HRR1 HRR-1"	9971	20186	60351
NR1I2	"Nuclear receptor subfamily 1 group I member 2 "	"ONR1 PXR BXR SXR PAR2"	8856	18171	84385
NR1I3	"Nuclear receptor subfamily 1 group I member 3 "	"MB67 CAR1 CAR"	9970	12355	65035
NR2C1	"Nuclear receptor subfamily 2 group C member 1 "	TR2-11	7181	22025	252924
NR2C2	"Nuclear receptor subfamily 2 group C member 2 "	"TAK1 TR2R1 hTAK1"	7182	22026	50659
NR2E1	"Nuclear receptor subfamily 2 group E member 1 "	"TLL XTLL"	7101	21907	684085
NR2E3	"Photoreceptor-specific nuclear receptor "	"PNR rd7 RP37"	10002	23958	100365683
NR2F1	"COUP transcription factor 1 "	"EAR-3 COUP-TFI TCFCOUP1 SVP44 COUPTF1"	7025	13865	81808
NR2F2	"COUP transcription factor 2 "	"COUP-TFII COUPTFB SVP40 NF-E3 COUPTF2"	7026	13865	81808
NR2F6	"Nuclear receptor subfamily 2 group F member 6 "	"EAR-2 EAR2"	2063	13864	245980
NR3C1	"Glucocorticoid receptor "	GR	2908	14815	24413
NR3C2	"Mineralocorticoid receptor "	MR	4306	110784	25672
NR4A1	"Nuclear receptor subfamily 4 group A member 1 "	"TR3 N10 NAK-1 NGFIB NUR77"	3164	15370	79240
NR4A2	"Nuclear receptor subfamily 4 group A member 2 "	"TINUR NOT RNR1 HZF-3"	4929	18227	54278
NR4A3	"Nuclear receptor subfamily 4 group A member 3 "	"CSMF CHN NOR1 MINOR"	8013	18124	58853
NR5A1	"Steroidogenic factor 1 "	"FTZ1 SF-1 ELP AD4BP hSF-1 SF1"	2516	26423	83826
NR5A2	"Nuclear receptor subfamily 5 group A member 2 "	"FTZ-F1beta hB1F LRH-1 FTZ-F1 hB1F-2 B1F2 LRH1"	2494	26424	60349
NR6A1	"Nuclear receptor subfamily 6 group A member 1 "	"GCNF1 RTR CT150"	2649	14536	362125
NRBF2	"Nuclear receptor-binding factor 2 "	"DKFZp564C1664 FLJ30395 COPR1 COPR2"	29982	641340	58839
NRF1	"Nuclear respiratory factor 1 "	"EWG ALPHA-PAL"	4899	18181	312195
NRG1	"Pro-neuregulin-1, membrane-bound isoform "	"HRG NDF GGF"	3084	211323	112400
NRIP1	"Nuclear receptor-interacting protein 1 "	RIP140	8204	268903	304157
NRIP2	"Nuclear receptor-interacting protein 2"	DKFZP761G1913	83714	60345	689619
NRK	"Nik-related protein kinase "	DKFZp686A17109	203447		
NRL	"Neural retina-specific leucine zipper protein "	"D14S46E RP27 NRL-MAF"	4901	18185	290221
NSD1	"Histone-lysine N-methyltransferase, H3 lysine-36 specific "	"ARA267 FLJ22263 KMT3B"	64324	18193	306764
NSD2	"Histone-lysine N-methyltransferase NSD2 "	"MMSET KMT3G"	7468	107823	680537
NSD3	"Histone-lysine N-methyltransferase NSD3 "	"FLJ20353 WHISTLE KMT3F"	54904	234135	290831
Nsmce3	"Non-structural maintenance of chromosomes element 3 homolog "	-		66647	309259
NUCKS1	"Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 "	NUCKS	64710	98415	64709
NUDT5	"ADP-sugar pyrophosphatase "	"hYSAH1 YSA1H"	11164	53893	361274
NUFIP1	"FMR1-interacting protein NUFIP1 "	"NUFIP Rsa1"	26747	27275	364430
NUFIP2	"FMR1-interacting protein NUFIP2 "	"KIAA1321 MGC117262 PIG1 182-FIP FIP-82 82-FIP NUFP2"	57532		
NUP107	"Nuclear pore complex protein Nup107 "	NUP84	57122	103468	116555
NUP133	"Nuclear pore complex protein Nup133 "	FLJ10814	55746		
NUP35	"Nucleoporin NUP35 "	MP44	129401	69482	295692
NUP42	"Nucleoporin NUP42 "	"NLP_1 CG1 hCG1 H_RG271G13.9"	11097		
Nup62	"Nuclear pore glycoprotein p62 "	-		18226	65274
NUP62	"Nuclear pore glycoprotein p62 "	"p62 DKFZp547L134 IBSN SNDI MGC841 FLJ20822 FLJ43869"	23636		
NUP85	"Nuclear pore complex protein Nup85 "	"NUP75 FLJ12549"	79902	445007	287830
NUP98	"Nuclear pore complex protein Nup98-Nup96 "	"NUP96 Nup98-Nup96 Nup98-96 NUP196"	4928	269966	81738
NUPR1	"Nuclear protein 1 "	"COM1 p8"	26471	56312	100912108
OAZ1	"Ornithine decarboxylase antizyme 1 "	"AZI MGC138338 AZ1"	4946		
OGT	"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit "	"O-GLCNAC HRNT1 MGC22921 FLJ23071 OGT1"	8473	108155	26295
OLIG1	"Oligodendrocyte transcription factor 1 "	"BHLHB6 bHLHe21"	116448	50914	60394
OLIG2	"Oligodendrocyte transcription factor 2 "	"RACK17 OLIGO2 bHLHe19"	10215	50913	304103
OLIG3	"Oligodendrocyte transcription factor 3 "	"Bhlhb7 bHLHe20"	167826	94222	293012
ONECUT1	"Hepatocyte nuclear factor 6 "	HNF-6	3175	15379	25231
ONECUT2	"One cut domain family member 2 "	OC-2	9480	225631	307376
ONECUT3	"One cut domain family member 3 "	-	390874	246086	
OPTN	"Optineurin "	"FIP2 HYPL FIP-2 TFIIIA-INTP NRP HIP7"	10133		
ORC2	"Origin recognition complex subunit 2"	-	4999	18393	301430
OSR1	"Protein odd-skipped-related 1"	-	130497	23967	298878
OSR2	"Protein odd-skipped-related 2"	FLJ90037	116039	107587	315039
OTOP3	"Proton channel OTOP3 "	-	347741		
OTP	"Homeobox protein orthopedia"	-	23440	18420	294640
OTX1	"Homeobox protein OTX1 "	-	5013	18423	25646
OTX2	"Homeobox protein OTX2 "	-	5015	18424	305858
OVOL1	"Putative transcription factor Ovo-like 1 "	HOVO1	5017	18426	309164
OVOL2	"Transcription factor Ovo-like 2 "	"bA504H3.3 HOVO2 CHED"	58495	107586	296201
OVOL3	"Putative transcription factor ovo-like protein 3"	HOVO3	728361	381867	365226
P2rx2	"P2X purinoceptor 2 "	-		231602	
PA2G4	"Proliferation-associated protein 2G4 "	EBP1	5036	18813	288778
PABPC1L	"Polyadenylate-binding protein 1-like"	"dJ1069P2.3 PABPC1L1 ePAB"	80336	381404	296351
PACS2	"Phosphofurin acidic cluster sorting protein 2 "	KIAA0602	23241		
PADI2	"Protein-arginine deiminase type-2 "	"KIAA0994 PDI2"	11240	18600	29511
PADI4	"Protein-arginine deiminase type-4 "	"PAD PDI5 PDI4"	23569	18602	29512
PAF1	"RNA polymerase II-associated factor 1 homolog "	"PD2 F23149_1 FLJ11123"	54623	54624	361531
PAGE4	"P antigen family member 4 "	"PAGE-4 CT16.7"	9506		
PAGR1	"PAXIP1-associated glutamate-rich protein 1 "	"MGC4606 GAS PA1"	79447	67278	293500
Pagr1a	"PAXIP1-associated glutamate-rich protein 1 "	"MGC4606 GAS PA1"	79447		293500
Pak6	"Serine/threonine-protein kinase PAK 6 "	-		214230	296078
PAK6	"Serine/threonine-protein kinase PAK 6 "	PAK5	56924		
PARK7	"Parkinson disease protein 7 "	"DJ-1 DJ1 GATD2"	11315	57320	117287
PARP1	"Poly [ADP-ribose] polymerase 1 "	"PARP ARTD1 Poly-PARP PARS"	142	11545	25591
PARP10	"Protein mono-ADP-ribosyltransferase PARP10 "	"FLJ14464 ARTD10"	84875	671535	102548778
PARP12	"Protein mono-ADP-ribosyltransferase PARP12 "	"FLJ22693 PARP-12 ZC3H1 ARTD12"	64761	243771	362343
PARP14	"Protein mono-ADP-ribosyltransferase PARP14 "	"KIAA1268 pART8 ARTD8 BAL2"	54625	547253	303903
PARP15	"Protein mono-ADP-ribosyltransferase PARP15 "	"FLJ40597 pART7 ARTD7 BAL3"	165631	547253	303903
PARP9	"Protein mono-ADP-ribosyltransferase PARP9 "	"BAL BAL1 ARTD9"	83666	80285	303905
PASD1	"Circadian clock protein PASD1 "	CT63	139135		
PATZ1	"POZ-, AT hook-, and zinc finger-containing protein 1 "	"MAZR dJ400N23 ZBTB19 ZSG RIAZ PATZ"	23598	56218	305471
PAWR	"PRKC apoptosis WT1 regulator protein "	"par-4 PAR4"	5074	114774	64513
PAX1	"Paired box protein Pax-1 "	-	5075	18503	311505
PAX2	"Paired box protein Pax-2"	PAX-2	5076	18504	293992
PAX3	"Paired box protein Pax-3 "	"HUP2 PAX-3"	5077	18505	114502
PAX4	"Paired box protein Pax-4"	MODY9	5078	18506	83630
PAX5	"Paired box protein Pax-5 "	"BSAP PAX-5"	5079	18507	500453
PAX6	"Paired box protein Pax-6 "	"D11S812E AN WAGR"	5080	18508	25509
PAX7	"Paired box protein Pax-7 "	Hup1	5081	18505	114502
PAX8	"Paired box protein Pax-8"	PAX-8	7849	18510	81819
PAX9	"Paired box protein Pax-9"	-	5083		
PAXBP1	"PAX3- and PAX7-binding protein 1 "	"GCFC fSAP105"	94104	67367	681004
PAXIP1	"PAX-interacting protein 1 "	"CAGF29 CAGF28 TNRC2 PTIP"	22976	55982	311944
PBRM1	"Protein polybromo-1 "	"BAF180 PB1 SMARCH1"	55193	66923	306254
PBX1	"Pre-B-cell leukemia transcription factor 1 "	-	5087	18516	311876
PBX2	"Pre-B-cell leukemia transcription factor 2 "	"G17 HOX12 PBX2MHC"	5089	18515	406164
PBX3	"Pre-B-cell leukemia transcription factor 3 "	-	5090	18516	311876
PBX4	"Pre-B-cell leukemia transcription factor 4 "	-	80714	80720	361131
PBXIP1	"Pre-B-cell leukemia transcription factor-interacting protein 1 "	HPIP	57326	229534	310644
PCBD1	"Pterin-4-alpha-carbinolamine dehydratase "	PCD	5092	13180	29700
PCBD2	"Pterin-4-alpha-carbinolamine dehydratase 2 "	"DCOHM DCOH2"	84105	72562	685729
PCBP1	Poly	"HNRPE1 hnRNP-E1 HNRPX hnRNP-X"	5093	23983	
PCBP2	Poly	"HNRPE2 hnRNP-E2 HNRNPE2"	5094	18521	363005
PCBP3	Poly	FLJ44028	54039	59093	294336
PCBP4	Poly	"MCG10 LIP4"	57060	59092	
PCGF1	"Polycomb group RING finger protein 1 "	"NSPC1 RNF68 MGC10882"	84759	69837	312480
PCGF2	"Polycomb group RING finger protein 2 "	MEL-18	7703	22658	287662
PCGF3	"Polycomb group RING finger protein 3 "	"FLJ36550 DONG1 RNF3A MGC40413"	10336	69587	305624
PCGF5	"Polycomb group RING finger protein 5 "	MGC16202	84333	76073	681178
PCGF6	"Polycomb group RING finger protein 6 "	MBLR	84108	71041	309457
PCNA	"Proliferating cell nuclear antigen "	-	5111	18538	25737
PCSK4	"Proprotein convertase subtilisin/kexin type 4 "	"PC4 SPC5 DKFZp434B217 MGC34749"	54760		
PCSK6	"Proprotein convertase subtilisin/kexin type 6 "	SPC4	5046		
PDCD4	"Programmed cell death protein 4 "	H731	27250	18569	64031
PDLIM1	"PDZ and LIM domain protein 1 "	"CLP-36 hCLIM1 CLP36"	9124	54132	54133
PDPK1	"3-phosphoinositide-dependent protein kinase 1 "	PDK1	5170		
PDS5B	"Sister chromatid cohesion protein PDS5 homolog B "	"AS3 KIAA0979 FLJ23236 CG008"	23047		
PDX1	"Pancreas/duodenum homeobox protein 1 "	"IDX-1 STF-1 PDX-1 MODY4 GSF IUF-1"	3651	18609	29535
PEG3	"Paternally-expressed gene 3 protein "	"ZKSCAN22 KIAA0287 ZNF904 ZSCAN24"	5178	18616	103691034
PELI1	"E3 ubiquitin-protein ligase pellino homolog 1 "	-	57162	67245	305549
PELP1	"Proline-, glutamic acid- and leucine-rich protein 1 "	MNAR	27043	75273	360552
PER1	"Period circadian protein homolog 1 "	RIGUI	5187	18626	287422
PER2	"Period circadian protein homolog 2 "	KIAA0347	8864	18627	63840
PER3	"Period circadian protein homolog 3 "	-	8863	18628	78962
PEX14	"Peroxisomal membrane protein PEX14 "	-	5195	56273	64460
PEX2	"Peroxisome biogenesis factor 2 "	"PMP35 PAF-1 RNF72 ZWS3"	5828	19302	29534
PFDN5	"Prefoldin subunit 5 "	"PFD5 MM-1"	5204	56612	300257
PFN1	"Profilin-1 "	-	5216	18643	64303
PGBD1	"PiggyBac transposable element-derived protein 1 "	"HUCEP-4 dJ874C20.4 SCAND4"	84547	319207	
PGR	"Progesterone receptor "	"PR NR3C3"	5241	18667	25154
PHB	"Prohibitin 1"	-	5245	18673	25344
PHB2	"Prohibitin-2 "	"REA BCAP37 Bap37 p22"	11331	12034	114766
PHC1	"Polyhomeotic-like protein 1 "	"HPH1 RAE28"	1911	13619	312690
PHF1	"PHD finger protein 1 "	"MTF2L2 TDRD19C PCL1"	5252	21652	294287
PHF10	"PHD finger protein 10 "	"FLJ10975 XAP135 BAF45a SMARCG4"	55274	72057	292404
PHF12	"PHD finger protein 12 "	"PF1 KIAA1523"	57649	268448	303274
PHF14	"PHD finger protein 14"	KIAA0783	9678	75725	500030
PHF19	"PHD finger protein 19 "	"DKFZP727G051 PCL3 MTF2L1 TDRD19B"	26147	74016	296653
PHF2	"Lysine-specific demethylase PHF2 "	"KIAA0662 JHDM1E CENP-35 KDM7C"	5253	18676	306814
PHF20	"PHD finger protein 20 "	"dJ1121G12.1 TDRD20A"	51230	228829	311575
PHF21A	"PHD finger protein 21A "	"BHC80 KIAA1696 BM-006"	51317	192285	362166
PHF21B	"PHD finger protein 21B"	"BHC80L FLJ34161"	112885	271305	300117
PHF5A	"PHD finger-like domain-containing protein 5A "	"MGC1346 SF3b14b INI bK223H9.2 Rds3 SAP14b SF3B7"	84844	68479	192246
PHF8	"Histone lysine demethylase PHF8 "	"ZNF422 KIAA1111 JHDM1F KDM7B"	23133	320595	317425
PHIP	"PH-interacting protein "	"ndrp FLJ20705 DCAF14 BRWD2"	55023	83946	315843
PHOX2A	"Paired mesoderm homeobox protein 2A "	"PMX2A CFEOM2"	401	11859	116648
PHOX2B	"Paired mesoderm homeobox protein 2B "	NBPhox	8929	18935	364152
PHRF1	"PHD and RING finger domain-containing protein 1"	"KIAA1542 PPP1R125"	57661		
PHTF1	"Protein PHTF1"	-	10745	18685	252962
PHTF2	"Protein PHTF2"	DKFZp434D166	57157	68770	
PIAS1	"E3 SUMO-protein ligase PIAS1 "	"GBP GU/RH-II ZMIZ3"	8554	56469	300772
PIAS2	"E3 SUMO-protein ligase PIAS2 "	"PIASX-BETA miz PIASX-ALPHA ZMIZ4 ARIP3"	9063	17344	83422
PIAS3	"E3 SUMO-protein ligase PIAS3 "	"FLJ14651 ZMIZ5"	10401	229615	83614
PIAS4	"E3 SUMO-protein ligase PIAS4 "	"Piasg PIASY FLJ12419 ZMIZ6"	51588	59004	362827
PICALM	"Phosphatidylinositol-binding clathrin assembly protein "	"CALM CLTH"	8301	233489	89816
PID1	"PTB-containing, cubilin and LRP1-interacting protein "	"NYGGF4 FLJ20701"	55022	98496	501174
PIDD1	"p53-induced death domain-containing protein 1 "	"MGC16925 DKFZp434D229"	55367	57913	100911519
PIH1D1	"PIH1 domain-containing protein 1 "	"FLJ20643 Pih1 MOT48 DNAAF14"	55011	68845	292898
PIK3R1	"Phosphatidylinositol 3-kinase regulatory subunit alpha "	"GRB1 p85-ALPHA p85"	5295	18708	25513
PIK3R2	"Phosphatidylinositol 3-kinase regulatory subunit beta "	"P85B p85"	5296	18709	29741
PIKFYVE	"1-phosphatidylinositol 3-phosphate 5-kinase "	"MGC40423 KIAA0981 PIP5K p235 ZFYVE29 FAB1"	200576		
PIM1	"Serine/threonine-protein kinase pim-1 "	-	5292	18712	24649
PIN1	"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 "	dod	5300	23988	298696
PINK1	"Serine/threonine-protein kinase PINK1, mitochondrial "	BRPK	65018	68943	298575
PIR	"Pirin "	-	8544	69656	363465
PITX1	"Pituitary homeobox 1 "	"PTX1 POTX"	5307	18740	113983
PITX2	"Pituitary homeobox 2 "	"IGDS RS Brx1 Otlx2 ARP1"	5308	18741	54284
PITX3	"Pituitary homeobox 3 "	-	5309	18742	29609
PKD1	"Polycystin-1 "	"PBP Pc-1 TRPP1"	5310	18763	24650
PKHD1	"Fibrocystin "	"ARPKD FCYT FPC"	5314	241035	
PKHD1L1	"Fibrocystin-L "	-	93035		
PKIA	"cAMP-dependent protein kinase inhibitor alpha "	-	5569	18767	114906
PKIG	"cAMP-dependent protein kinase inhibitor gamma "	-	11142	18769	266709
PKM	"Pyruvate kinase PKM "	"THBP1 OIP3 PK3"	5315		
PKN1	"Serine/threonine-protein kinase N1 "	"DBK PRK1 PKN MGC46204 PAK1"	5585	320795	29355
PKN2	"Serine/threonine-protein kinase N2 "	"PRK2 Pak-2 STK7"	5586	109333	
PKNOX1	"Homeobox protein PKNOX1 "	PREP1	5316	18771	294322
PKNOX2	"Homeobox protein PKNOX2 "	-	63876	208076	680549
PLAG1	"Zinc finger protein PLAG1 "	ZNF912	5324	56711	297804
PLAGL1	"Zinc finger protein PLAGL1 "	"ZAC LOT1"	5325	22634	25157
PLAGL2	"Zinc finger protein PLAGL2 "	ZNF900	5326	54711	296281
PLCB1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 "	"KIAA0581 PLC-I PLC154"	23236	18795	24654
PLEK	"Pleckstrin "	"P47 PLEK1"	5341	56193	364206
PLEK2	Pleckstrin-2	-	26499		
PLEKHA4	"Pleckstrin homology domain-containing family A member 4 "	PEPP1	57664		
PLK1	"Serine/threonine-protein kinase PLK1 "	-	5347	18817	25515
PLK3	"Serine/threonine-protein kinase PLK3 "	"FNK PRK"	1263	12795	58936
PLRG1	"Pleiotropic regulator 1"	"PRL1 Prp46 PRPF46 Cwc1 TANGO4"	5356	53317	60376
PLSCR1	"Phospholipid scramblase 1 "	MMTRA1B	5359	22038	315883
PLXNA1	"Plexin-A1 "	NOV	5361		
PLXNA2	"Plexin-A2 "	"OCT FLJ11751 FLJ30634 KIAA0463"	5362		
PLXNA3	"Plexin-A3 "	"SEX XAP-6 6.3 Plxn3"	55558		
PLXNA4	Plexin-A4	"KIAA1550 DKFZp434G0625PRO34003 FAYV2820"	91584		
PLXNB1	"Plexin-B1 "	"SEP KIAA0407"	5364		
PLXNB2	"Plexin-B2 "	"MM1 KIAA0315 PLEXB2"	23654		
PLXNB3	Plexin-B3	"PLEXR PLEXB3"	5365		
PLXNC1	"Plexin-C1 "	"VESPR CD232"	10154		
PLXND1	Plexin-D1	KIAA0620	23129		
PMF1	"Polyamine-modulated factor 1 "	-	11243		
PML	"Protein PML "	"MYL TRIM19 RNF71"	5371	18854	315713
PMS1	"PMS1 protein homolog 1 "	MLH2	5378	227099	494322
PMS2P3	"Putative postmeiotic segregation increased 2-like protein 3 "	"PMS5 PMSR3"	5387		
PNRC1	"Proline-rich nuclear receptor coactivator 1 "	"B4-2 PRR2"	10957	108767	286988
PNRC2	"Proline-rich nuclear receptor coactivator 2"	-	55629	52830	100125373
POGK	"Pogo transposable element with KRAB domain"	"KIAA15131 LST003 BASS2 KRBOX2"	57645	71592	304941
POGZ	"Pogo transposable element with ZNF domain "	"KIAA0461 ZNF635 ZNF280E"	23126	229584	310658
POLE3	"DNA polymerase epsilon subunit 3 "	"CHRAC17 Ybl1 p17 CHARAC17 CHRAC2"	54107		
POLE4	"DNA polymerase epsilon subunit 4 "	p12	56655		
POLR2A	"DNA-directed RNA polymerase II subunit RPB1 "	"POLRA RPB1"	5430	20020	363633
POLR2L	"DNA-directed RNA polymerases I, II, and III subunit RPABC5 "	"RPB10beta RBP10 RPABC5 RPB7.6 hRPB7.6 hsRPB10b"	5441		
POLR3C	"DNA-directed RNA polymerase III subunit RPC3 "	"RPC62 RPC3 C82"	10623	74414	310685
POLR3F	"DNA-directed RNA polymerase III subunit RPC6 "	"RPC39 RPC6 C34"	10621	70408	311487
POLR3G	"DNA-directed RNA polymerase III subunit RPC7 "	"RPC32 RPC7 C31"	10622		
POLR3GL	"DNA-directed RNA polymerase III subunit RPC7-like "	"flj32422 MGC3200"	84265		
POU1F1	"Pituitary-specific positive transcription factor 1 "	"GHF-1 POU1F1a PIT-1"	5449	18736	25517
POU2AF1	"POU domain class 2-associating factor 1 "	"OBF1 BOB1 OCA-B"	5450	18985	690528
POU2F1	"POU domain, class 2, transcription factor 1 "	OCT1	5451	18986	171068
POU2F2	"POU domain, class 2, transcription factor 2 "	OCT2	5452	18987	117058
POU2F3	"POU domain, class 2, transcription factor 3 "	"OCT11 PLA-1 Skn-1a Epoc-1"	25833	18988	116544
POU3F1	"POU domain, class 3, transcription factor 1 "	"OCT6 SCIP"	5453	18991	192110
POU3F2	"POU domain, class 3, transcription factor 2 "	"POUF3 BRN2 OCT7"	5454	18992	29588
POU3F3	"POU domain, class 3, transcription factor 3 "	"BRN1 OTF8"	5455	18993	192109
POU3F4	"POU domain, class 3, transcription factor 4 "	"BRN4 OTF9 DFNX2"	5456	18994	29589
POU4F1	"POU domain, class 4, transcription factor 1 "	RDC-1	5457	18996	114503
POU4F2	"POU domain, class 4, transcription factor 2 "	Brn-3b	5458	18997	171355
POU4F3	"POU domain, class 4, transcription factor 3 "	BRN3C	5459	18997	171355
POU5F1	"POU domain, class 5, transcription factor 1 "	"OCT3 Oct4 MGC22487 OCT-4 Oct3/4"	5460	18999	294562
POU5F1B	"Putative POU domain, class 5, transcription factor 1B "	OTF3C	5462	18999	294562
POU5F2	"POU domain, class 5, transcription factor 2 "	"SPRM-1 FLJ25680"	134187	75507	680620
POU6F1	"POU domain, class 6, transcription factor 1 "	"BRN5 MPOU TCFB1"	5463	19009	116545
POU6F2	"POU domain, class 6, transcription factor 2 "	RPF-1	11281	681092	218030
PPARA	"Peroxisome proliferator-activated receptor alpha "	"hPPAR NR1C1"	5465	19013	25747
PPARD	"Peroxisome proliferator-activated receptor delta "	"NUC1 NUCII FAAR NR1C2 PPARB"	5467	19015	25682
PPARG	"Peroxisome proliferator-activated receptor gamma "	"PPARG1 PPARG2 NR1C3 PPARgamma"	5468	19016	25664
PPARGC1A	"Peroxisome proliferator-activated receptor gamma coactivator 1-alpha "	"PGC1 PGC1A PGC-1alpha PPARAGCI_"	10891	19017	83516
PPARGC1B	"Peroxisome proliferator-activated receptor gamma coactivator 1-beta "	"PERC PGC1B PPARAGCI_"	133522	170826	291567
PPHLN1	"Periphilin-1 "	-	51535	223828	366975
PPID	"Peptidyl-prolyl cis-trans isomerase D "	"CYP-40 CypD"	5481	67738	361967
PPIE	"Peptidyl-prolyl cis-trans isomerase E "	"CyP-33 MGC3736 MGC111222"	10450	56031	298508
PPM1A	"Protein phosphatase 1A "	"MGC9201 PP2Calpha PP2CA"	5494	19042	24666
PPP1R10	"Serine/threonine-protein phosphatase 1 regulatory subunit 10 "	"PNUTS FB19 CAT53 p99"	5514		
PPP1R12A	"Protein phosphatase 1 regulatory subunit 12A "	"MBS M130"	4659	17931	116670
PPP1R13L	"RelA-associated inhibitor "	"RAI IASPP"	10848	333654	686781
Ppp1r15a	"Protein phosphatase 1 regulatory subunit 15A "	-		17872	103691034
PPP2CA	"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform "	"PP2Calpha PP2AC"	5515	19052	24672
PPP2R1A	"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform "	"PR65A PP2A-Aalpha PP2AA"	5518		
PPP2R3B	"Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta "	"PPP2R3LY PR48 PR70"	28227		
PPP3CA	"Protein phosphatase 3 catalytic subunit alpha "	"CNA1 PPP2B"	5530	19055	24674
PPP3CB	"Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform "	"CALNA2 CNA2 PP2Bbeta"	5532	19055	24674
PPP3R1	"Calcineurin subunit B type 1 "	"CALNB1 CNB CNB1"	5534	19058	29748
PPRC1	"Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 "	"PRC KIAA0595 MGC74642"	23082	226169	294007
PQBP1	"Polyglutamine-binding protein 1 "	-	10084	54633	302557
PRAME	"Melanoma antigen preferentially expressed in tumors "	CT130	23532	77632	691157
PRAMEF1	"PRAME family member 1"	-	65121	77632	691157
PRAMEF10	"PRAME family member 10"	-	343071	77632	691157
PRAMEF11	"PRAME family member 11"	-	440560	77632	691157
PRAMEF12	"PRAME family member 12"	OTTHUMG00000001927	390999	77632	691157
PRAMEF13	"Putative PRAME family member 13"	-	400736	77632	691157
PRAMEF14	"PRAME family member 14"	OTTHUMG00000007916	729528	77632	691157
PRAMEF17	"PRAME family member 17"	OTTHUMG00000007909	391004	77632	691157
PRAMEF18	"PRAME family member 18"	-	391003	77632	691157
